Counter,Demand_el [MWh],Demand_th [MWh],Sol_irradiation [Wh/sqm],Wind_power [kW/unit]
274,3.536802544,20.39795918,13.31688595,1598.580318
275,3.689233114,21.7122449,21.30701752,1693.751398
276,3.821307367,22.18163265,42.61403504,1725.475091
277,3.784397801,22.0877551,42.61403504,1957.770801
278,3.729528072,20.58571429,29.29714909,1999.891619
279,3.640760457,20.96122449,15.98026314,2048.480397
280,3.539550427,19.45918367,5.326754381,2009.609375
281,3.560742101,19.17755102,0,2029.044886
282,3.723065051,19.55306122,0,1980.456108
283,3.718162827,19.55306122,0,1598.580318
284,3.556279539,19.64693878,0,1630.304011
285,3.158561933,18.23877551,0,1067.927009
286,2.881003759,17.86326531,0,613.679005
287,2.613074167,17.76938776,0,1017.044992
288,2.147802604,16.45510204,0,966.1629761
289,1.775673285,16.36122449,0,1390.624037
290,1.582046452,16.45510204,0,1501.554844
291,1.489255936,16.83061224,0,1335.158634
292,1.486530036,16.36122449,0,1557.020247
293,1.681278005,16.54897959,0,1501.554844
294,1.994031066,18.89591837,0,1788.922478
295,2.602258499,19.83469388,0,1757.198785
296,3.262849592,20.30408163,0,573.6481642
297,3.436801583,20.77346939,101.649017,966.1629761
298,3.395473421,20.77346939,106.0464427,1725.475091
299,3.39008757,19.64693878,212.807078,1887.799044
300,3.426447559,19.45918367,341.8476217,1864.475125
301,3.376721867,18.61428571,411.8851551,1817.827287
302,3.311234317,18.23877551,271.8004881,1390.624037
303,3.132204239,18.61428571,28.54167186,1390.624037
304,3.133787019,18.42653061,7.990131571,1446.08944
305,3.176566063,18.80204082,0,773.8023685
306,3.472282249,19.36530612,0,653.7098459
307,3.422028963,19.17755102,0,573.6481642
308,3.188920546,19.83469388,0,1279.69323
309,2.791071041,19.74081633,0,442.7156407
310,2.539342968,19.55306122,0,1169.691042
311,2.358554244,17.01836735,0,533.6173233
312,1.987590028,16.17346939,0,352.2124467
313,1.592356509,16.26734694,0,1017.044992
